URL SITE,YOUTUBE,TIME,Difficulty
https://www.24kitchen.pt/receita/canja-bacalhau,https://www.youtube.com/watch?v=bHG6LEuiFNg,45,medium
https://www.24kitchen.pt/receita/frango-na-pucara,https://www.youtube.com/watch?v=gC7ZfhQxkPE,45,medium
https://www.24kitchen.pt/receita/sopa-pedra,https://www.youtube.com/watch?v=3Fyuxbbl_3Y,60,hard
https://www.24kitchen.pt/receita/torricado-bacalhau,https://www.youtube.com/watch?v=4_e9oWqw3b4,30,easy
https://www.24kitchen.pt/receita/favas-com-entrecosto,https://www.youtube.com/watch?v=Z2K3cnqDStg,60,hard
https://www.24kitchen.pt/receita/bacalhau-a-bras-lisboa,https://www.youtube.com/watch?v=tLltNeurcD8,30,easy
https://www.24kitchen.pt/receita/bitoque-lisboa,https://www.youtube.com/watch?v=H50nxKwYMPU,30,easy
https://www.24kitchen.pt/receita/ensopado-borrego-portalegre,https://www.youtube.com/watch?v=pHRwQlQPu3c,240,hard
https://www.24kitchen.pt/receita/cozido-de-grao,https://www.youtube.com/watch?v=4erVaj2VB6A,60,hard
https://www.24kitchen.pt/receita/sericaia-portalegre,https://www.youtube.com/watch?v=WkbIkW28wKE,30,easy
https://www.24kitchen.pt/receita/choco-frito-setubal,https://www.youtube.com/watch?v=wW56Cg0BQjA,30,easy
https://www.24kitchen.pt/receita/caldeirada-de-cavala,https://www.youtube.com/watch?v=pOCCRzkAw8M,30,easy
https://www.24kitchen.pt/receita/cabidela-setubal,https://www.youtube.com/watch?v=LRMjV_lQ8lU,60,hard
https://www.24kitchen.pt/receita/cozido-a-portuguesa-evora,https://www.youtube.com/watch?v=qj18ftG-Oyg,90,hard
https://www.24kitchen.pt/receita/gaspacho-evora,https://www.youtube.com/watch?v=XspxhuPigvc,30,easy
https://www.24kitchen.pt/receita/sopa-de-cacao-evora,https://www.youtube.com/watch?v=AsqdVrSag1o,30,easy
https://www.24kitchen.pt/receita/carne-com-ameijoas-beja,https://www.youtube.com/watch?v=atPgyR4n88E,60,hard
https://www.24kitchen.pt/receita/acorda-de-camarao,missing video,60,hard
https://www.24kitchen.pt/receita/cataplana-faro,https://www.youtube.com/watch?v=SjKdtDwF_OI,45,medium
https://www.24kitchen.pt/receita/espetada-madeirense,https://www.youtube.com/watch?v=8Vd-uavre8g,30,easy
https://www.24kitchen.pt/receita/hamburgues-atum-bolo-do-caco,https://www.youtube.com/watch?v=ZIK3E2Gnjz8,30,easy
https://www.24kitchen.pt/receita/alcatra-acores,https://www.youtube.com/watch?v=OsB-3FdPQs0,60,hard
https://www.24kitchen.pt/receita/polvo-guisa,https://www.youtube.com/watch?v=JxvBVEhl6zk,120,hard
https://www.24kitchen.pt/receita/camarao-malagueta-alecrim,https://www.youtube.com/watch?v=a5kKdvCkl2A,30,easy
https://www.24kitchen.pt/receita/bacalhau-frito-com-creme-marmelo,https://www.youtube.com/watch?v=x7ng0MpPEV4,30,easy
https://www.24kitchen.pt/receita/salada-perdiz-avelas-vinagreta,https://www.youtube.com/watch?v=BW3T2ABrVPM,90,hard
https://www.24kitchen.pt/receita/cachaco-porco-assado-forno,https://www.youtube.com/watch?v=7k02CxDA_Vg,120,hard
https://www.24kitchen.pt/receita/arroz-frango-assado-enchidos,https://www.youtube.com/watch?v=01xGLWozJPw,120,hard
https://www.24kitchen.pt/receita/frigideiras-braga,https://youtu.be/PSX8Rxj6ycQ,45,medium
https://www.24kitchen.pt/receita/bacalhau-a-narcisa-braga,https://youtu.be/SPSavRjumsE,45,medium
https://www.24kitchen.pt/receita/leite-creme-braga,https://youtu.be/DmHg63MTEZI,30,easy
https://www.24kitchen.pt/receita/trutas-a-transmontana-vila-real,https://youtu.be/PWkriWFo7uo,45,medium
https://www.24kitchen.pt/receita/carre-de-borrego-braganca,https://youtu.be/wdodgge2IaI,45,medium
https://www.24kitchen.pt/receita/lombo-de-porco-com-castanhas-braganca,https://youtu.be/6eJUUPPNs8c,60,hard
https://www.24kitchen.pt/receita/bola-com-manteiga-de-canela,https://youtu.be/DtVPFCfRIp8,120,hard
https://www.24kitchen.pt/receita/mousse-de-bacalhau-com-broa-viseu,https://youtu.be/EU4fSxTxxck,60,hard
https://www.24kitchen.pt/receita/arroz-de-forno-com-cabrito-assado,https://youtu.be/A5j3xp2k4-k,60,hard
https://www.24kitchen.pt/receita/pasteis-de-feijao-viseu,https://youtu.be/Hn94HeyJCHw,45,medium
https://www.24kitchen.pt/receita/ensopado-de-cogumelos-guarda,https://youtu.be/V2rZ7-AfeJM,45,medium
https://www.24kitchen.pt/receita/tortilha-a-assis-guarda,https://youtu.be/PVDx_Yt1hIM,45,medium
https://www.24kitchen.pt/receita/arroz-de-lebre-guarda,https://youtu.be/87ryoGeVS3A,60,hard
https://www.24kitchen.pt/receita/sopa-de-cebola-porto,https://youtu.be/tzPVz0S6Glg,45,medium
https://www.24kitchen.pt/receita/francesinha-porto,https://youtu.be/etrDrGG7vpk,45,medium
https://www.24kitchen.pt/receita/biscoitos-da-teixeira-porto,https://youtu.be/MeEh6HG8E7M,45,medium
https://www.24kitchen.pt/receita/raia-com-molho-pitau-aveiro,https://youtu.be/Q-LZkPdZAZk,45,medium
https://www.24kitchen.pt/receita/leitao-a-moda-do-alma-aveiro,https://youtu.be/NExX2co0u3k,180,hard
https://www.24kitchen.pt/receita/tripas-de-chocolate-aveiro,https://youtu.be/mHSkDUNG-OM,45,medium
https://www.24kitchen.pt/receita/linguas-de-bacalhau-coimbra,https://youtu.be/8dQL6wREJJc,45,medium
